############################
SERVER SIDE STARTED
############################


Starting resend nak thread
8293.72419405# Server sent data 000000000
8293.774647# Server sent data 000000001
8293.82508111# Server sent data 000000002
8293.87592602# Server sent data 000000003
8293.92635202# Server sent data 000000004
8293.97680998# Server sent data 000000005
8294.02785206# Server sent data 000000006
8294.0782361# Server sent data 000000007
8294.12881899# Server sent data 000000008
8294.17988706# Server sent data 000000009
8294.23017192# Server sent data 000000010
8294.28060508# Server sent data 000000011
8294.33196092# Server sent data 000000012
8294.38238502# Server sent data 000000013
8294.43308806# Server sent data 000000014
8294.48370004# Server sent data 000000015
8294.53408098# Server sent data 000000016
8294.58450699# Server sent data 000000017
8294.63503909# Server sent data 000000018
8294.68544888# Server sent data 000000019
8294.73583293# Server sent data 000000020
8294.78620696# Server sent data 000000021
8294.83706093# Server sent data 000000022
8294.88747597# Server sent data 000000023
8294.93827105# Server sent data 000000024
8294.98882794# Server sent data 000000025
8295.039258# Server sent data 000000026
8295.04030609# Server received NAK 25
8295.04046392# Server resent (NAK) 000000025
8295.09054399# Server sent data 000000027
8295.14084101# Server sent data 000000028
8295.19114304# Server sent data 000000029
8295.24155688# Server sent data 000000030
8295.29209805# Server sent data 000000031
8295.34267402# Server sent data 000000032
8295.3934989# Server sent data 000000033
8295.44408393# Server sent data 000000034
8295.4949739# Server sent data 000000035
8295.54537296# Server sent data 000000036
8295.59650898# Server sent data 000000037
8295.6469779# Server sent data 000000038
8295.69748402# Server sent data 000000039
8295.74812794# Server sent data 000000040
8295.79872203# Server sent data 000000041
8295.84912109# Server sent data 000000042
8295.9000721# Server sent data 000000043
8295.95065308# Server sent data 000000044
8296.00122905# Server sent data 000000045
8296.05151796# Server sent data 000000046
8296.10198903# Server sent data 000000047
8296.15246105# Server sent data 000000048
8296.20282412# Server sent data 000000049
8296.25333691# Server sent data 000000050
8296.30396295# Server sent data 000000051
8296.30549407# Server received NAK 50
8296.30562592# Server resent (NAK) 000000050
8296.35459399# Server sent data 000000052
8296.4051671# Server sent data 000000053
8296.45558095# Server sent data 000000054
8296.50598097# Server sent data 000000055
8296.55637908# Server sent data 000000056
8296.60668206# Server sent data 000000057
8296.65712404# Server sent data 000000058
8296.7075491# Server sent data 000000059
8296.75818396# Server sent data 000000060
8296.80892491# Server sent data 000000061
8296.85947609# Server sent data 000000062
8296.90985489# Server sent data 000000063
8296.96052694# Server sent data 000000064
8297.0111289# Server sent data 000000065
8297.06154704# Server sent data 000000066
8297.11205792# Server sent data 000000067
8297.1626811# Server sent data 000000068
8297.21347094# Server sent data 000000069
8297.26403403# Server sent data 000000070
8297.31439805# Server sent data 000000071
8297.3647449# Server sent data 000000072
8297.41511703# Server sent data 000000073
8297.46593904# Server sent data 000000074
8297.51668811# Server sent data 000000075
8297.56735706# Server sent data 000000076
8297.61800408# Server sent data 000000077
8297.66837597# Server sent data 000000078
8297.71886706# Server sent data 000000079
8297.76946306# Server sent data 000000080
8297.82048988# Server sent data 000000081
8297.87081909# Server sent data 000000082
8297.92153811# Server sent data 000000083
8297.9719739# Server sent data 000000084
8298.0228219# Server sent data 000000085
8298.07367706# Server sent data 000000086
8298.12424898# Server sent data 000000087
8298.17460799# Server sent data 000000088
8298.22517109# Server sent data 000000089
8298.27561903# Server sent data 000000090
8298.276757# Server received NAK 89
8298.27690601# Server resent (NAK) 000000089
8298.3262341# Server sent data 000000091
8298.37670207# Server sent data 000000092
8298.42770505# Server sent data 000000093
8298.47855091# Server sent data 000000094
8298.52933407# Server sent data 000000095
8298.57978392# Server sent data 000000096
8298.63022709# Server sent data 000000097
8298.68047094# Server sent data 000000098
8298.73169088# Server sent data 000000099
8298.78212905# Server sent data 000000100
8298.83245993# Server sent data 000000101
8298.8836019# Server sent data 000000102
8298.9344089# Server sent data 000000103
8298.98500204# Server sent data 000000104
8299.03545189# Server sent data 000000105
8299.08604503# Server sent data 000000106
8299.13641906# Server sent data 000000107
8299.18773293# Server sent data 000000108
8299.23859501# Server sent data 000000109
8299.28917909# Server sent data 000000110
8299.33962989# Server sent data 000000111
8299.39019704# Server sent data 000000112
8299.44065499# Server sent data 000000113
8299.49113011# Server sent data 000000114
8299.54153395# Server sent data 000000115
8299.5918839# Server sent data 000000116
8299.64235711# Server sent data 000000117
8299.69284606# Server sent data 000000118
8299.74318004# Server sent data 000000119
8299.79367495# Server sent data 000000120
8299.84418106# Server sent data 000000121
8299.89492702# Server sent data 000000122
8299.94547892# Server sent data 000000123
8299.99686289# Server sent data 000000124
8300.04767489# Server sent data 000000125
8300.09879088# Server sent data 000000126
8300.14992404# Server sent data 000000127
8300.20031691# Server sent data 000000128
8300.25106096# Server sent data 000000129
8300.30188203# Server sent data 000000130
8300.3523519# Server sent data 000000131
8300.40275693# Server sent data 000000132
8300.45311594# Server sent data 000000133
8300.504076# Server sent data 000000134
8300.55474901# Server sent data 000000135
8300.60510802# Server sent data 000000136
8300.65673804# Server sent data 000000137
8300.70729208# Server sent data 000000138
8300.7576201# Server sent data 000000139
8300.80909705# Server sent data 000000140
8300.859519# Server sent data 000000141
8300.91008902# Server sent data 000000142
8300.96061802# Server sent data 000000143
8301.01108789# Server sent data 000000144
8301.06159496# Server sent data 000000145
8301.11208296# Server sent data 000000146
8301.16250205# Server sent data 000000147
8301.21280503# Server sent data 000000148
8301.26336098# Server sent data 000000149
8301.26465893# Server received NAK 148
8301.26476502# Server resent (NAK) 000000148
8301.31412292# Server sent data 000000150
8301.36443305# Server sent data 000000151
8301.41483593# Server sent data 000000152
8301.46542501# Server sent data 000000153
8301.51588988# Server sent data 000000154
8301.56656504# Server sent data 000000155
8301.61701012# Server sent data 000000156
8301.66743207# Server sent data 000000157
8301.71778798# Server sent data 000000158
8301.76824307# Server sent data 000000159
8301.81870699# Server sent data 000000160
8301.87008405# Server sent data 000000161
8301.92115593# Server sent data 000000162
8301.97164297# Server sent data 000000163
8302.02214098# Server sent data 000000164
8302.0724659# Server sent data 000000165
8302.12300491# Server sent data 000000166
8302.17342806# Server sent data 000000167
8302.224401# Server sent data 000000168
8302.27570891# Server sent data 000000169
8302.32609606# Server sent data 000000170
8302.37654591# Server sent data 000000171
8302.42687607# Server sent data 000000172
8302.47723699# Server sent data 000000173
8302.52794695# Server sent data 000000174
8302.57898998# Server sent data 000000175
8302.6295259# Server sent data 000000176
8302.67984295# Server sent data 000000177
8302.73073697# Server sent data 000000178
8302.78128004# Server sent data 000000179
8302.8318429# Server sent data 000000180
8302.88248396# Server sent data 000000181
8302.9330399# Server sent data 000000182
8302.9834199# Server sent data 000000183
8303.03385901# Server sent data 000000184
8303.08475709# Server sent data 000000185
8303.13529706# Server sent data 000000186
8303.18578792# Server sent data 000000187
8303.2363081# Server sent data 000000188
8303.28688192# Server sent data 000000189
8303.33732605# Server sent data 000000190
8303.38777709# Server sent data 000000191
8303.43910289# Server sent data 000000192
8303.48948598# Server sent data 000000193
8303.53984499# Server sent data 000000194
8303.59015489# Server sent data 000000195
8303.64127207# Server sent data 000000196
8303.69168591# Server sent data 000000197
8303.74221206# Server sent data 000000198
8303.79281998# Server sent data 000000199
8303.84373593# Server sent data 000000200
8303.89457703# Server sent data 000000201
8303.94506001# Server sent data 000000202
8303.99589491# Server sent data 000000203
8304.04626894# Server sent data 000000204
8304.09669995# Server sent data 000000205
8304.14782# Server sent data 000000206
8304.19830108# Server sent data 000000207
8304.24867702# Server sent data 000000208
8304.29937911# Server sent data 000000209
8304.35028505# Server sent data 000000210
8304.40070009# Server sent data 000000211
8304.45139289# Server sent data 000000212
8304.50214791# Server sent data 000000213
8304.55250692# Server sent data 000000214
8304.60283899# Server sent data 000000215
8304.65344# Server sent data 000000216
8304.70382309# Server sent data 000000217
8304.75433612# Server sent data 000000218
8304.805686# Server sent data 000000219
8304.85605788# Server sent data 000000220
8304.90645289# Server sent data 000000221
8304.95798397# Server sent data 000000222
8305.00854611# Server sent data 000000223
8305.05893111# Server sent data 000000224
8305.10963202# Server sent data 000000225
8305.16045308# Server sent data 000000226
8305.21113396# Server sent data 000000227
8305.26163697# Server sent data 000000228
8305.31251907# Server sent data 000000229
8305.36281109# Server sent data 000000230
8305.41310811# Server sent data 000000231
8305.46339512# Server sent data 000000232
8305.51388788# Server sent data 000000233
8305.56493211# Server sent data 000000234
8305.61529708# Server sent data 000000235
8305.6656971# Server sent data 000000236
8305.71610093# Server sent data 000000237
8305.76647496# Server sent data 000000238
8305.817132# Server sent data 000000239
8305.86778212# Server sent data 000000240
8305.91802001# Server sent data 000000241
8305.96842003# Server sent data 000000242
8306.01914501# Server sent data 000000243
